"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","424630","Validate_Hana_T121_Pickup_CustomerSection_Edit_Customer_CustomerDetails_PaymentDetails_PaymentAmountSearchFilter_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 17:51:14 IST 2025","failed","Wed Aug 06 17:58:19 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T121_Pickup_CustomerSection_Edit_Customer_CustomerDetails_PaymentDetails_PaymentAmountSearchFilter_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T121_Pickup_CustomerSection_Edit_Customer_CustomerDetails_PaymentDetails_PaymentAmountSearchFilter_FT","Validate_Hana_T121_Pickup_CustomerSection_Edit_Customer_CustomerDetails_PaymentDetails_PaymentAmountSearchFilter_Functionality_Test"
"","146354","Validate_Hana_T386_OrderDetailsSection_Priority_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 20:06:21 IST 2025","passed","Wed Aug 06 20:08:48 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T386_OrderDetailsSection_Priority_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T386_OrderDetailsSection_Priority_Functionality","Validate_Hana_T386_OrderDetailsSection_Priority_Functionality_Test"
"","401078","Validate_Hana_T1005_Advance_Dispatch_Trip_Section_Optimize_Configuration_Avoid_Toll_Roads_On_Functionality_Test","Hana POS - Regression Functional Test Suite","Thu Aug 07 02:16:37 IST 2025","passed","Thu Aug 07 02:23:18 IST 2025","com.hanapos.testcases.Advance_Dispatch_Testcases.Hana_T1005_Advance_Dispatch_Trip_Section_Optimize_Configuration_Avoid_Toll_Roads_On_Functionality_Test","Hana POS - Regression Functional Test","com.hanapos.testcases.Advance_Dispatch_Testcases.Hana_T1005_Advance_Dispatch_Trip_Section_Optimize_Configuration_Avoid_Toll_Roads_On_Functionality_Test","Validate_Hana_T1005_Advance_Dispatch_Trip_Section_Optimize_Configuration_Avoid_Toll_Roads_On_Functionality_Test"
"","139994","Validate_Hana_T374_OrderDetailsSection_SendRemainderChecked_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 20:01:21 IST 2025","passed","Wed Aug 06 20:03:41 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T374_OrderDetailsSection_SendRemainderChecked_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Delivery_Type.Hana_T374_OrderDetailsSection_SendRemainderChecked_Functionality","Validate_Hana_T374_OrderDetailsSection_SendRemainderChecked_Functionality_Test"
"","204769","pre_requisite_for_Automation_Shop_Invoice_Hana_T722","Hana POS - Regression Functional Test Suite","Thu Aug 07 03:56:17 IST 2025","passed","Thu Aug 07 03:59:42 IST 2025","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T722_Quick_Dispatch_Show_orders_for_all_shops_Enable_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T722_Quick_Dispatch_Show_orders_for_all_shops_Enable_Functionality","pre_requisite_for_Automation_Shop_Invoice_Hana_T722"
"","175984","Validate_Hana_T225_OrderEntryPage_Pickup_Payment_Section_Visa_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 18:49:17 IST 2025","passed","Wed Aug 06 18:52:13 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T225_OrderEntryPage_Pickup_Payment_Section_Visa_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.Pick_Up_Type.Hana_T225_OrderEntryPage_Pickup_Payment_Section_Visa_Functionality","Validate_Hana_T225_OrderEntryPage_Pickup_Payment_Section_Visa_Functionality_Test"
"","415067","Validate_Hana_T550_CustomerSection_Edit_Customer_CustomerDetails_UnPaidInvoice_Pagination_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 21:39:24 IST 2025","passed","Wed Aug 06 21:46:19 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T550_CustomerSection_Edit_Customer_CustomerDetails_UnPaidInvoice_Pagination_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T550_CustomerSection_Edit_Customer_CustomerDetails_UnPaidInvoice_Pagination_Functionality","Validate_Hana_T550_CustomerSection_Edit_Customer_CustomerDetails_UnPaidInvoice_Pagination_Functionality_Test"
"","401584","Validate_Hana_T577_CustomerSection_TextMeUpdatesAndPromotion_Checked_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 22:02:12 IST 2025","passed","Wed Aug 06 22:08:54 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T577_CustomerSection_TextMeUpdatesAndPromotion_Checked_FT","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireOut_Type.Hana_T577_CustomerSection_TextMeUpdatesAndPromotion_Checked_FT","Validate_Hana_T577_CustomerSection_TextMeUpdatesAndPromotion_Checked_Functionality_Test"
"","208058","Validate_Hana_T485_ProductSection_Functionality_Test","Hana POS - Regression Functional Test Suite","Wed Aug 06 21:02:33 IST 2025","passed","Wed Aug 06 21:06:01 IST 2025","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireIn_Type.Hana_T485_ProductSection_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Order_Entry_Alaise_Phone_Order_Testcases.WireIn_Type.Hana_T485_ProductSection_Functionality","Validate_Hana_T485_ProductSection_Functionality_Test"
"","116590","Validate_Hana_T721_Show_orders_for_all_shops_view_order_functionality","Hana POS - Regression Functional Test Suite","Thu Aug 07 03:58:32 IST 2025","passed","Thu Aug 07 04:00:29 IST 2025","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T721_Show_orders_for_all_shops_View_Order_Functionality","Hana POS - Regression Functional Test","com.hanapos.testcases.Quick_Dispatch_Testcases.Hana_T721_Show_orders_for_all_shops_View_Order_Functionality","Validate_Hana_T721_Show_orders_for_all_shops_view_order_functionality"
